spotify_track_id,spotify_title,spotify_artists,spotify_duration_ms,youtube_video_id,youtube_title,youtube_url
0SiywuOBRcynK0uKGWdCnn,Bad Romance,Lady Gaga,294573,qrO4YZeyl0I,Lady Gaga - Bad Romance (Official Music Video),https://www.youtube.com/watch?v=qrO4YZeyl0I
22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",258431,2zNSgSzhBfM,MACKLEMORE & RYAN LEWIS - CAN'T HOLD US FEAT. RAY DALTON (OFFICIAL MUSIC VIDEO),https://www.youtube.com/watch?v=2zNSgSzhBfM
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Tones And I,209438,q0hyYWKXF0Q,TONES AND I - DANCE MONKEY (OFFICIAL VIDEO),https://www.youtube.com/watch?v=q0hyYWKXF0Q
5a8AFKfx0vuiepeyiHgH7O,Chandelier,Sia,216120,2vjPBrBU-TM,Sia - Chandelier (Official Video),https://www.youtube.com/watch?v=2vjPBrBU-TM
2Foc5Q5nqNiosCNqttzHof,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",248413,5NV6Rdv1a3I,"Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams, Nile Rodgers",https://www.youtube.com/watch?v=5NV6Rdv1a3I
2GYHyAoLWpkxLVa4oYTVko,Alors on danse - Radio Edit,Stromae,206066,p7mz4QFd-c0,Stromae - Alors on Danse (Radio Edit) (Cheese),https://www.youtube.com/watch?v=p7mz4QFd-c0
455AfCsOhhLPRc68sE01D8,Last Friday Night (T.G.I.F.),Katy Perry,230746,KlyXNRrsk4A,Katy Perry - Last Friday Night (T.G.I.F.) (Official Music Video),https://www.youtube.com/watch?v=KlyXNRrsk4A
2jX5c5RFp0A9E1GDsvGxIa,Balance ton quoi,Angèle,189480,Hi7Rx3En7-k,Angèle - Balance Ton Quoi [CLIP OFFICIEL],https://www.youtube.com/watch?v=Hi7Rx3En7-k
6tS3XVuOyu10897O3ae7bi,California Gurls,"Katy Perry, Snoop Dogg",234653,F57P9C4SAW4,Katy Perry - California Gurls (Official Music Video) ft. Snoop Dogg,https://www.youtube.com/watch?v=F57P9C4SAW4
0gSvEcIBXqiYqomjp6hKHj,Le chant des sirènes,Fréro Delavega,178986,Mqb8weZrKN4,Fréro Delavega - Le Chant Des Sirènes,https://www.youtube.com/watch?v=Mqb8weZrKN4
5pDUMdIiW0rNLzFryqpC9j,Diamonds,Rihanna,225146,lWA2pjMjpBs,Rihanna - Diamonds,https://www.youtube.com/watch?v=lWA2pjMjpBs
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,202333,pXRviuL6vMY,twenty one pilots: Stressed Out [OFFICIAL VIDEO],https://www.youtube.com/watch?v=pXRviuL6vMY
6sy3LkhNFjJWlaeSMNwQ62,Counting Stars,OneRepublic,257840,hT_nvWreIhg,OneRepublic - Counting Stars,https://www.youtube.com/watch?v=hT_nvWreIhg
4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,WALK THE MOON,199080,6JCLY0Rlx6Q,WALK THE MOON - Shut Up and Dance (Official Video),https://www.youtube.com/watch?v=6JCLY0Rlx6Q
